ensemblgene,entrezgene,gene_name,path_description,path_ID
ENSG00000167863,10476,ATP5PD,Oxidative phosphorylation,path:hsa00190
ENSG00000184983,4700,NDUFA6,Oxidative phosphorylation,path:hsa00190
ENSG00000169020,521,ATP5ME,Oxidative phosphorylation,path:hsa00190
ENSG00000281013,4700,NDUFA6,Oxidative phosphorylation,path:hsa00190
ENSG00000272765,4700,NDUFA6,Oxidative phosphorylation,path:hsa00190
ENSG00000241837,539,ATP5PO,Oxidative phosphorylation,path:hsa00190
ENSG00000273397,4700,NDUFA6,Oxidative phosphorylation,path:hsa00190
ENSG00000277365,4700,NDUFA6,Oxidative phosphorylation,path:hsa00190
ENSG00000184983,4700,NDUFA6,Metabolic pathways,path:hsa01100
ENSG00000272765,4700,NDUFA6,Metabolic pathways,path:hsa01100
ENSG00000169020,521,ATP5ME,Metabolic pathways,path:hsa01100
ENSG00000277365,4700,NDUFA6,Metabolic pathways,path:hsa01100
ENSG00000167863,10476,ATP5PD,Metabolic pathways,path:hsa01100
ENSG00000187210,2650,GCNT1,Metabolic pathways,path:hsa01100
ENSG00000059691,5188,GATB,Metabolic pathways,path:hsa01100
ENSG00000273397,4700,NDUFA6,Metabolic pathways,path:hsa01100
ENSG00000176597,84002,B3GNT5,Metabolic pathways,path:hsa01100
ENSG00000165475,51084,CRYL1,Metabolic pathways,path:hsa01100
ENSG00000103024,4832,NME3,Metabolic pathways,path:hsa01100
ENSG00000105755,23474,ETHE1,Metabolic pathways,path:hsa01100
ENSG00000136628,2058,EPRS1,Metabolic pathways,path:hsa01100
ENSG00000175283,22845,DOLK,Metabolic pathways,path:hsa01100
ENSG00000281013,4700,NDUFA6,Metabolic pathways,path:hsa01100
ENSG00000241837,539,ATP5PO,Metabolic pathways,path:hsa01100
ENSG00000136628,2058,EPRS1,Biosynthesis of cofactors,path:hsa01240
ENSG00000103024,4832,NME3,Biosynthesis of cofactors,path:hsa01240
ENSG00000163319,51023,MRPS18C,Ribosome,path:hsa03010
ENSG00000142937,6202,RPS8,Ribosome,path:hsa03010
ENSG00000135972,64965,MRPS9,Ribosome,path:hsa03010
ENSG00000130312,64981,MRPL34,Ribosome,path:hsa03010
ENSG00000243147,9553,MRPL33,Ribosome,path:hsa03010
ENSG00000198121,1902,LPAR1,PI3K-Akt signaling pathway,path:hsa04151
ENSG00000117560,356,FASLG,PI3K-Akt signaling pathway,path:hsa04151
ENSG00000169020,521,ATP5ME,Thermogenesis,path:hsa04714
ENSG00000241837,539,ATP5PO,Thermogenesis,path:hsa04714
ENSG00000277365,4700,NDUFA6,Thermogenesis,path:hsa04714
ENSG00000167863,10476,ATP5PD,Thermogenesis,path:hsa04714
ENSG00000281013,4700,NDUFA6,Thermogenesis,path:hsa04714
ENSG00000184983,4700,NDUFA6,Thermogenesis,path:hsa04714
ENSG00000273397,4700,NDUFA6,Thermogenesis,path:hsa04714
ENSG00000272765,4700,NDUFA6,Thermogenesis,path:hsa04714
ENSG00000277365,4700,NDUFA6,Alzheimer disease,path:hsa05010
ENSG00000272765,4700,NDUFA6,Alzheimer disease,path:hsa05010
ENSG00000117362,51107,APH1A,Alzheimer disease,path:hsa05010
ENSG00000281013,4700,NDUFA6,Alzheimer disease,path:hsa05010
ENSG00000241837,539,ATP5PO,Alzheimer disease,path:hsa05010
ENSG00000184983,4700,NDUFA6,Alzheimer disease,path:hsa05010
ENSG00000167863,10476,ATP5PD,Alzheimer disease,path:hsa05010
ENSG00000169100,293,SLC25A6,Alzheimer disease,path:hsa05010
ENSG00000273397,4700,NDUFA6,Alzheimer disease,path:hsa05010
ENSG00000167863,10476,ATP5PD,Parkinson disease,path:hsa05012
ENSG00000277365,4700,NDUFA6,Parkinson disease,path:hsa05012
ENSG00000184983,4700,NDUFA6,Parkinson disease,path:hsa05012
ENSG00000273397,4700,NDUFA6,Parkinson disease,path:hsa05012
ENSG00000281013,4700,NDUFA6,Parkinson disease,path:hsa05012
ENSG00000272765,4700,NDUFA6,Parkinson disease,path:hsa05012
ENSG00000169100,293,SLC25A6,Parkinson disease,path:hsa05012
ENSG00000241837,539,ATP5PO,Parkinson disease,path:hsa05012
ENSG00000281013,4700,NDUFA6,Huntington disease,path:hsa05016
ENSG00000273397,4700,NDUFA6,Huntington disease,path:hsa05016
ENSG00000241837,539,ATP5PO,Huntington disease,path:hsa05016
ENSG00000167863,10476,ATP5PD,Huntington disease,path:hsa05016
ENSG00000272765,4700,NDUFA6,Huntington disease,path:hsa05016
ENSG00000184983,4700,NDUFA6,Huntington disease,path:hsa05016
ENSG00000277365,4700,NDUFA6,Huntington disease,path:hsa05016
ENSG00000169100,293,SLC25A6,Huntington disease,path:hsa05016
ENSG00000169100,293,SLC25A6,Prion disease,path:hsa05020
ENSG00000167863,10476,ATP5PD,Prion disease,path:hsa05020
ENSG00000184983,4700,NDUFA6,Prion disease,path:hsa05020
ENSG00000272765,4700,NDUFA6,Prion disease,path:hsa05020
ENSG00000277365,4700,NDUFA6,Prion disease,path:hsa05020
ENSG00000241837,539,ATP5PO,Prion disease,path:hsa05020
ENSG00000281013,4700,NDUFA6,Prion disease,path:hsa05020
ENSG00000273397,4700,NDUFA6,Prion disease,path:hsa05020
ENSG00000167863,10476,ATP5PD,Pathways of neurodegeneration - multiple diseases,path:hsa05022
ENSG00000117560,356,FASLG,Pathways of neurodegeneration - multiple diseases,path:hsa05022
ENSG00000169100,293,SLC25A6,Pathways of neurodegeneration - multiple diseases,path:hsa05022
ENSG00000277365,4700,NDUFA6,Pathways of neurodegeneration - multiple diseases,path:hsa05022
